,Season,Wins,Losses,Win_Percent,Rolling_Mean
0,1980.0,43.0,24.0,0.6417910447761194,0.5095953813334815
1,1981.0,24.0,41.0,0.36923076923076925,0.5175329510101816
2,1982.0,27.0,41.0,0.39705882352941174,0.5109701766467049
3,1983.0,23.0,44.0,0.34328358208955223,0.49529853485566006
4,1984.0,34.0,32.0,0.5151515151515151,0.47562724569284553
5,1985.0,23.0,49.0,0.3194444444444444,0.45405056337672656
6,1986.0,31.0,41.0,0.4305555555555556,0.4447984266245898
7,1987.0,30.0,42.0,0.4166666666666667,0.43877278559894883
8,1988.0,42.0,31.0,0.5753424657534246,0.44630703217429124
9,1989.0,34.0,39.0,0.4657534246575342,0.4474278291854993
10,1990.0,46.0,24.0,0.6571428571428571,0.44896301042217307
11,1991.0,35.0,31.0,0.5303030303030303,0.46507023652939916
12,1992.0,39.0,35.0,0.527027027027027,0.4780670568791606
13,1993.0,27.0,45.0,0.375,0.4812386986702054
14,1994.0,16.0,23.0,0.41025641025641024,0.470749188180695
15,1995.0,24.0,40.0,0.375,0.47630474373625054
16,1996.0,28.0,43.0,0.39436619718309857,0.47268580789900494
17,1997.0,38.0,33.0,0.5352112676056338,0.4845402679929016
18,1998.0,32.0,45.0,0.4155844155844156,0.46856446297600074
19,1999.0,39.0,27.0,0.5909090909090909,0.4810800296011564
20,2000.0,38.0,28.0,0.5757575757575758,0.47294150146262826
21,2001.0,40.0,27.0,0.5970149253731343,0.47961269096963866
22,2002.0,33.0,37.0,0.4714285714285714,0.4740528454097931
23,2003.0,28.0,29.0,0.49122807017543857,0.48567565242733696
24,2004.0,28.0,29.0,0.49122807017543857,0.4937728184192397
25,2005.0,42.0,35.0,0.5454545454545454,0.5108182729646943
26,2006.0,27.0,41.0,0.39705882352941174,0.5110875355993256
27,2007.0,32.0,43.0,0.4266666666666667,0.500233075505429
28,2008.0,34.0,37.0,0.4788732394366197,0.5065619578906493
29,2009.0,46.0,27.0,0.6301369863013698,0.5104847474298773
30,2010.0,46.0,30.0,0.6052631578947368,0.5134353056435933
31,2011.0,40.0,27.0,0.5970149253731343,0.5134353056435933
32,2012.0,27.0,16.0,0.627906976744186,0.5290831461751548
33,2013.0,46.0,28.0,0.6216216216216216,0.5421225013197731
34,2014.0,40.0,27.0,0.5970149253731343,0.5527011868395427
35,2015.0,48.0,28.0,0.631578947368421,0.5613136270309302
36,2016.0,39.0,35.0,0.527027027027027,0.5743104473806918
